,x,y
146,3754.7981894016298,2.4505753388114254e-17
147,3756.539499640468,-1.2517014488799394e-17
148,3758.2808098793053,1.7777371987018096e-17
149,3760.022120118144,5.0869959928230996e-17
150,3761.763430356983,5.4800414487895114e-17
151,3763.5047405958207,1.2019209751539472e-17
152,3765.246050834658,1.852825842295291e-17
153,3766.9873610734967,4.764238720483279e-17
154,3768.7286713123353,-1.3174359205163647e-17
155,3770.4699815511735,-1.534388603422589e-17
156,3772.211291790012,-2.363635844018019e-17
157,3773.95260202885,2.2413797075355393e-17
158,3775.693912267687,5.719640930660396e-17
159,3777.4352225065263,-1.4556398510546835e-17
160,3779.1765327453645,-4.784531115270429e-17
161,3780.9178429842036,5.0484156273091356e-18
162,3782.659153223041,-1.8285851490083014e-17
163,3784.4004634618805,-3.07832750332547e-17
164,3786.1417737007177,4.6433065692892506e-17
165,3787.8830839395564,9.499128411088687e-17
166,3789.6243941783937,1.2867044236807336e-17
167,3791.365704417232,-4.470568706376728e-20
168,3793.107014656071,-7.841754097883345e-18
169,3794.848324894909,7.386880551402804e-19
170,3796.5896351337465,-6.70372500819233e-19
171,3798.3309453725847,6.35413139116236e-18
172,3800.0722556114233,6.655706139657861e-18
173,3801.813565850262,3.6581900462757595e-17
174,3803.5548760890997,2.3152169922983505e-17
175,3805.2961863279374,-4.657202872707898e-17
176,3807.0374965667766,-2.8693714235549804e-17
177,3808.778806805614,7.321085757620209e-17
178,3810.520117044453,8.443015141535891e-18
179,3812.26142728329,3.0399463229030104e-17
180,3814.0027375221284,7.503086668205554e-17
181,3815.7440477609666,-1.108895085413376e-17
182,3817.4853579998053,-4.035991556169552e-17
183,3819.226668238643,4.7727700958850274e-18
184,3820.9679784774817,3.668078163318217e-17
185,3822.7092887163203,7.677568176150551e-17
186,3824.4505989551585,7.206054712916134e-17
187,3826.191909193996,8.124372761871275e-17
188,3827.933219432833,1.495473560632787e-17
189,3829.674529671673,-1.1924074054928525e-17
190,3831.4158399105113,2.4410333141372577e-17
191,3833.1571501493486,2.0019888406151402e-17
