Table 6
SN II V-band Light-curve Parameters

SN	DM	Explosion	t_PT	A_V(Host)	M_max	M_end	M_tail	s_1	s_2	s_3	OPTd	Pd	^56Ni Mass	
(mag)	Epoch (MJD)	(MJD)	(mag)	(mag)	(mag)	(mag)	(mag 100 day^-1)	(mag 100 day^-1)	(mag 100 day^-1)	(days)	(days)	( M_sun)	
2004fb	34.54(0.11)	53242.6^s(4)	 ... 	 ... 	-16.19*(0.11)	-15.46*(0.11)	 ... 	 ... 	1.24(0.07)	 ... 	 ... 	 ... 	 ... 	
2004fc	31.68(0.31)	53293.5^n(1)	53425.9(1.0)	 ... 	-16.21*(0.31)	-15.41*(0.31)	 ... 	 ... 	0.82(0.02)	 ... 	106.06(4)	 ... 	 ... 	
2004fx	32.82(0.24)	53303.5^n(4)	53407.3(0.5)	0.00(0.10)	-15.58(0.26)	-15.33(0.26)	-12.87(0.27)	 ... 	0.09(0.03)	0.93(0.08)	68.4(6)	 ... 	0.014	
2005J	33.96(0.14)	53382.8^s(7)	53496.6(0.7)	0.22(0.30)	-17.50(0.33)	-16.57(0.33)	 ... 	2.11(0.07)	0.96(0.02)	 ... 	94.0(8)	56.7(4)	 ... 	
2005K	35.33(0.08)	53369.8^s(7)	53446.6(4.3)	 ... 	-16.57*(0.08)	-16.08*(0.08)	-13.22*(0.08)	 ... 	1.67(0.13)	2.15(0.71)	 ... 	 ... 	>0.016	
2005Z	34.61(0.11)	53396.7^n(6)	53491.3(1.3)	 ... 	-17.17*(0.11)	-16.17*(0.11)	 ... 	 ... 	1.83(0.01)	 ... 	78.8(7)	 ... 	 ... 	
2005af	27.75(0.36)	53323.8^s(15)	53434.7(0.2)	0.00(0.12)	 ... 	-14.99(0.38)	-13.41(0.38)	 ... 	 ... 	1.25(0.03)	104.0(16)	 ... 	0.026	
2005an	33.43(0.18)	53428.8^s(4)	 ... 	 ... 	-17.07*(0.18)	-15.89*(0.18)	 ... 	3.34(0.06)	1.89(0.05)	 ... 	77.7(6)	36.3(4)	 ... 	
2005dk	34.01(0.14)	53599.5^s(6)	53702.8(0.4)	 ... 	-17.52*(0.14)	-16.74*(0.14)	 ... 	2.26(0.09)	1.18(0.07)	 ... 	84.2(7)	37.5(5)	 ... 	
2005dn	32.83(0.24)	53601.6^s(6)	53695.7(0.7)	0.00(0.16)	-17.01(0.29)	-16.38(0.29)	 ... 	 ... 	1.53(0.02)	 ... 	79.8(7)	 ... 	 ... 	
2005dt	35.02(0.09)	53605.6^n(9)	53736.1(0.7)	0.00(0.14)	-16.39(0.17)	-15.84(0.17)	 ... 	 ... 	0.71(0.04)	 ... 	112.9(10)	 ... 	 ... 	
2005dw	34.17(0.13)	53603.6^n(9)	53717.0(0.9)	 ... 	-16.49*(0.13)	-15.61*(0.13)	-13.21*(0.13)	 ... 	1.27(0.04)	 ... 	92.6(10)	 ... 	>0.021	
2005dx	35.18(0.08)	53615.9^s(7)	53719.7(0.8)	0.00(0.28)	-16.05(0.29)	-15.24(0.29)	-12.12(0.29)	 ... 	1.30(0.05)	 ... 	85.6(8)	 ... 	>0.007	
2005dz	34.32(0.12)	53619.5^n(4)	53730.0(0.6)	0.00(0.12)	-16.57(0.17)	-15.97(0.17)	-13.42(0.18)	1.31(0.08)	0.43(0.04)	 ... 	81.9(6)	37.6(5)	>0.021	
2005es	35.87(0.06)	53638.7^n(5)	 ... 	 ... 	-16.98*(0.06)	-16.32*(0.06)	 ... 	 ... 	1.31(0.05)	 ... 	 ... 	 ... 	 ... 	
2005gk	35.36(0.08)	 ... 	53728.5(0.7)	 ... 	-16.44*(0.08)	-15.89*(0.08)	-13.56*(0.08)	 ... 	1.25(0.07)	 ... 	 ... 	 ... 	 ... 	
2005hd	35.38(0.08)	 ... 	53700.9(0.4)	 ... 	 ... 	-17.07*(0.08)	-15.02*(0.08)	 ... 	1.23(0.13)	1.17(0.06)	 ... 	 ... 	 ... 	
2005lw	35.22(0.08)	53716.8^s(10)	53840.7(1.4)	 ... 	-17.07*(0.08)	-15.47*(0.08)	 ... 	 ... 	2.05(0.04)	 ... 	107.2(11)	 ... 	 ... 	
2005me	34.76(0.10)	53721.6^s(6)	 ... 	 ... 	-16.83*(0.10)	-15.51*(0.10)	 ... 	3.06(0.12)	1.70(0.06)	 ... 	76.9(7)	43.6(5)	 ... 	
2006Y	35.73(0.06)	53766.5^n(4)	54824.6(0.5)	0.00(0.11)	-17.97(0.13)	-16.98(0.13)	-14.26(0.13)	8.15(0.76)	1.99(0.12)	4.75(0.34)	47.5(6)	26.9(4)	>0.034	
2006ai	34.01(0.14)	53781.8^s(5)	53854.0(0.5)	0.00(0.09)	-18.06(0.17)	-17.03(0.17)	-14.53(0.17)	4.97(0.17)	2.07(0.04)	1.78(0.24)	63.3(7)	38.1(4)	>0.050	
2006bc	31.97(0.26)	53815.5^n(4)	 ... 	 ... 	-15.18*(0.26)	-15.07*(0.26)	 ... 	1.47(0.18)	-0.58(0.04)	 ... 	 ... 	 ... 	 ... 	
2006be	32.44(0.29)	53805.8^s(6)	53901.4(0.1)	0.00(0.16)	-16.47(0.33)	-16.08(0.33)	 ... 	1.26(0.08)	0.67(0.02)	 ... 	72.9(7)	43.5(4)	 ... 	
2006bl	35.65(0.07)	53823.8^s(6)	 ... 	 ... 	-18.23*(0.07)	-16.52*(0.07)	 ... 	 ... 	2.61(0.02)	 ... 	 ... 	 ... 	 ... 	
2006ee	33.87(0.15)	53961.9^n(4)	54072.1(0.6)	0.00(0.09)	-16.28(0.18)	-16.04(0.18)	 ... 	 ... 	0.27(0.02)	 ... 	85.2(6)	 ... 	 ... 	
2006it	33.88(0.15)	54006.5^n(3)	 ... 	0.00(0.10)	-16.20(0.18)	-15.97(0.19)	 ... 	 ... 	1.19(0.13)	 ... 	 ... 	 ... 	 ... 	
2006iw	35.42(0.07)	54010.7^n(1)	 ... 	0.00(0.11)	-16.89(0.13)	-16.18(0.14)	 ... 	 ... 	1.05(0.03)	 ... 	 ... 	 ... 	 ... 	
2006ms	33.90(0.15)	54034.0^n(13)	 ... 	0.00(0.19)	-16.18(0.24)	-15.93(0.24)	 ... 	2.07(0.30)	0.11(0.48)	 ... 	 ... 	 ... 	>0.056	
2006qr	34.02(0.14)	54062.8^n(7)	54194.1(1.2)	 ... 	-15.99*(0.14)	-14.24*(0.14)	 ... 	 ... 	1.46(0.02)	 ... 	96.9(8)	 ... 	 ... 	
2007P	36.18(0.05)	54118.7^n(5)	54214.7(1.2)	 ... 	-17.96*(0.05)	-16.75*(0.05)	 ... 	 ... 	2.36(0.04)	 ... 	88.3(7)	 ... 	 ... 	
2007U	35.14(0.08)	54134.6^s(6)	 ... 	0.00(0.36)	-17.87(0.37)	-16.78(0.37)	 ... 	2.94(0.02)	1.18(0.01)	 ... 	 ... 	 ... 	 ... 	
2007W	33.22(0.20)	54136.8^s(7)	54270.8(0.7)	0.00(0.08)	-15.80(0.22)	-15.34(0.22)	 ... 	 ... 	0.12(0.04)	 ... 	77.3(8)	 ... 	 ... 	
2007X	33.11(0.21)	54143.9^s(5)	54256.5(0.6)	0.38(0.19)	-18.22(0.29)	-17.08(0.29)	 ... 	2.43(0.06)	1.37(0.03)	 ... 	97.7(7)	52.6(4)	 ... 	
2007aa	31.95(0.27)	54135.8^s(5)	54227.4(0.3)	0.00(0.07)	-16.32(0.28)	-16.32(0.28)	 ... 	 ... 	-0.05(0.02)	 ... 	 ... 	 ... 	 ... 	
2007ab	34.94(0.09)	54123.9^s(10)	54204.0(0.9)	 ... 	-16.98*(0.09)	-16.55*(0.09)	-14.22*(0.09)	 ... 	3.30(0.08)	2.31(0.22)	71.3(11)	 ... 	>0.040	
2007av	32.56(0.22)	54175.8^s(5)	 ... 	 ... 	-16.27*(0.22)	-15.60*(0.22)	 ... 	 ... 	0.97(0.02)	 ... 	 ... 	 ... 	>0.015	
2007hm	34.98(0.09)	54335.6^s(6)	54414.4(1.3)	0.00(0.15)	-16.47(0.18)	-16.00(0.18)	 ... 	 ... 	1.45(0.04)	 ... 	 ... 	 ... 	>0.045	
2007il	34.63(0.11)	54349.8^n(4)	 ... 	0.00(0.11)	-16.78(0.16)	-16.59(0.16)	 ... 	 ... 	0.31(0.02)	 ... 	103.4(5)	 ... 	 ... 	
