Table 3 
Velocity Values at 50 Days from Explosion


SN	vel(${{\rm{H}}}_{\alpha }$)	vel(${{\rm{H}}}_{\alpha }$)	vel(${{\rm{H}}}_{\beta }$)	vel(Fe	vel(Fe II	vel(Fe II	vel(Fe II	vel(Sc II	vel(Na I D)	vel(Ba II)	vel(Sc II)	vel(O I)	
				II lambda4924)	lambda5018)	lambda5169)	/Sc II)	Mult.)					
	(km s^-1)	(km s^-1)	(km s^-1)	(km s^-1)	(km s^-1)	(km s^-1)	(km s^-1)	(km s^-1)	(km s^-1)	(km s^-1)	(km s^-1)	(km s^-1)	
2005J	8434 +or- 755	6353 +or- 668	6380 +or- 404	4235 +or- 273	4129 +or- 406	4224 +or- 437	4151 +or- 402	4190 +or- 265	4994 +or- 386	4097 +or- 297	4581 +or- 272	4500 +or- 460	
2005lw	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	
2005Z	9479 +or- 661	8538 +or- 582	7879 +or- 843	5673 +or- 281	5646 +or- 384	5196 +or- 411	5633 +or- 489	5435 +or- 359	7375 +or- 560	6432 +or- 655	4671 +or- 480	6040 +or- 640	
2006ai	7480 +or- 821	6949 +or- 559	6301 +or- 560	4135 +or- 353	4424 +or- 427	4623 +or- 340	4396 +or- 258	3379 +or- 526	6184 +or- 434	cdots	cdots	6750 +or- 710	
2006be	7441 +or- 474	6360 +or- 625	5868 +or- 755	3760 +or- 742	3682 +or- 738	3690 +or- 722	3870 +or- 694	3305 +or- 677	4431 +or- 668	4921 +or- 620	cdots	cdots	
2006bl	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	
2006ee	5209 +or- 426	5370 +or- 675	3020 +or- 619	3213 +or- 254	3125 +or- 194	3024 +or- 255	3101 +or- 299	2708 +or- 316	3239 +or- 267	2734 +or- 262	2738 +or- 202	cdots	
2006it	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	
2006iw	7373 +or- 671	6104 +or- 566	5337 +or- 694	4352 +or- 687	4127 +or- 678	4148 +or- 722	3790 +or- 688	3352 +or- 682	5074 +or- 724	cdots	cdots	cdots	
2006ms	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	
2006qr	6501 +or- 419	5558 +or- 487	5103 +or- 285	3166 +or- 872	3593 +or- 221	3643 +or- 200	3780 +or- 188	3529 +or- 175	4844 +or- 554	3795 +or- 188	2932 +or- 146	cdots	
2006Y	9007 +or- 619	7770 +or- 589	6958 +or- 464	3748 +or- 186	4946 +or- 731	5076 +or- 546	cdots	cdots	7004 +or- 613	cdots	cdots	cdots	
2007aa	5985 +or- 539	5102 +or- 550	4264 +or- 374	3148 +or- 398	3179 +or- 378	3148 +or- 396	3099 +or- 324	2880 +or- 266	3864 +or- 321	2697 +or- 187	2907 +or- 267	2650 +or- 300	
2007ab	9768 +or- 505	8495 +or- 600	8205 +or- 405	cdots	7140 +or- 353	4776 +or- 237	6957 +or- 344	6418 +or- 318	7285 +or- 404	6743 +or- 337	5949 +or- 614	cdots	
2007av	7234 +or- 338	6065 +or- 402	5366 +or- 311	3664 +or- 182	3874 +or- 192	3847 +or- 191	3847 +or- 191	3714 +or- 185	3957 +or- 605	3662 +or- 182	3452 +or- 172	3240 +or- 299	
2007bf	5498 +or- 580	3830 +or- 410	4110 +or- 420	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	
2007hm	8237 +or- 383	6197 +or- 544	6404 +or- 432	4289 +or- 213	4039 +or- 201	4403 +or- 515	4835 +or- 240	3341 +or- 166	5278 +or- 262	cdots	cdots	cdots	
2007il	8022 +or- 809	7390 +or- 482	5916 +or- 505	4220 +or- 281	4100 +or- 481	4282 +or- 383	4017 +or- 370	4493 +or- 420	4798 +or- 769	5544 +or- 560	2709 +or- 250	cdots	
2007it	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	
2007ld	7176 +or- 700	11416 +or- 990	6024 +or- 580	cdots	3695 +or- 350	3589 +or- 350	cdots	cdots	5922 +or- 600	cdots	cdots	cdots	
2007oc	6749 +or- 492	7072 +or- 435	5239 +or- 436	2274 +or- 198	3281 +or- 315	3694 +or- 343	4188 +or- 480	3859 +or- 378	5019 +or- 450	2887 +or- 218	3266 +or- 291	4700 +or- 500	
2007od	7171 +or- 655	7163 +or- 428	6698 +or- 545	cdots	5188 +or- 363	3863 +or- 300	cdots	3876 +or- 193	6202 +or- 427	5100 +or- 525	4846 +or- 240	cdots	
2007P	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	
2007sq	8298 +or- 943	8409 +or- 437	7410 +or- 366	5270 +or- 390	5249 +or- 260	5350 +or- 265	4978 +or- 247	4135 +or- 205	5662 +or- 280	cdots	cdots	44780 +or- 430	
2007U	8037 +or- 837	7395 +or- 516	6911 +or- 721	cdots	5541 +or- 274	5439 +or- 550	5923 +or- 293	5429 +or- 269	6480 +or- 340	cdots	cdots	cdots	
2007W	4754 +or- 935	4125 +or- 558	3203 +or- 269	2343 +or- 182	2612 +or- 337	2437 +or- 454	2543 +or- 156	2505 +or- 164	2618 +or- 186	2086 +or- 104	2485 +or- 124	2000 +or- 195	
2007X	8597 +or- 675	8418 +or- 537	6685 +or- 601	cdots	5466 +or- 383	4619 +or- 762	6339 +or- 399	5555 +or- 354	6170 +or- 708	5160 +or- 427	5021 +or- 496	5980 +or- 610	
2008ag	6906 +or- 463	6284 +or- 426	4583 +or- 473	4045 +or- 292	3951 +or- 324	3939 +or- 311	3862 +or- 326	3521 +or- 283	4215 +or- 426	3223 +or- 230	3499 +or- 233	3460 +or- 330	
2008aw	8257 +or- 621	7783 +or- 911	6641 +or- 530	4728 +or- 376	4724 +or- 526	4532 +or- 654	5027 +or- 458	4429 +or- 372	6436 +or- 478	4545 +or- 394	4458 +or- 271	cdots	
2008bh	7824 +or- 688	7263 +or- 430	6297 +or- 375	4236 +or- 210	4339 +or- 232	4189 +or- 637	4327 +or- 215	4180 +or- 207	4683 +or- 378	4466 +or- 222	3990 +or- 198	cdots	
2008bk	4115 +or- 390	3313 +or- 707	2401 +or- 224	1867 +or- 133	2256 +or- 153	2910 +or- 460	2266 +or- 276	2437 +or- 310	2019 +or- 171	1846 +or- 137	1998 +or- 180	1780 +or- 194	
