event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2004et,53292.14,11.376,0.01,,R,KAIT,KAIT,2014MNRAS.442..844F
SN2004et,53292.14,11.606,0.01,,V,KAIT,KAIT,2014MNRAS.442..844F
SN2004et,53292.15,13.13,,,B,,,"2005PASP..117..121L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53292.15,11.98,,,I,,,"2005PASP..117..121L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53292.15,12.27,,,R,,,"2005PASP..117..121L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53292.15,12.82,,,U,,,"2005PASP..117..121L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53292.15,12.67,,,V,,,"2005PASP..117..121L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53292.603,13.113,0.021,,B,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53292.603,11.918,0.019,,I,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53292.603,12.16,0.017,,R,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53292.603,12.885,0.037,,U,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53292.603,12.56,0.024,,V,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53293.614,13.162,0.009,,B,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53293.614,11.922,0.012,,I,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53293.614,12.154,0.02,,R,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53293.614,12.997,0.035,,U,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53293.614,12.557,0.019,,V,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53293.7,13.16,0.01,,B,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53293.7,11.94,0.01,,I,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53293.7,12.16,0.01,,R,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53293.7,13.04,0.04,,U,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53293.7,12.61,0.01,,V,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53294.16,11.828,0.01,,B,KAIT,KAIT,2014MNRAS.442..844F
SN2004et,53294.16,13.22,,,B,,,"2005PASP..117..121L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53294.16,11.349,0.01,,I,KAIT,KAIT,2014MNRAS.442..844F
SN2004et,53294.16,11.97,,,I,,,"2005PASP..117..121L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53294.16,11.351,0.01,,R,KAIT,KAIT,2014MNRAS.442..844F
SN2004et,53294.16,12.26,,,R,,,"2005PASP..117..121L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53294.16,12.96,,,U,,,"2005PASP..117..121L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53294.16,11.586,0.01,,V,KAIT,KAIT,2014MNRAS.442..844F
SN2004et,53294.16,12.67,,,V,,,"2005PASP..117..121L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53294.625,13.203,0.017,,B,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53294.625,11.912,0.021,,I,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53294.625,12.156,0.015,,R,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53294.625,13.063,0.046,,U,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53294.625,12.568,0.023,,V,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53295.4,13.27,0.02,,B,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53295.4,11.92,0.01,,I,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53295.4,12.22,0.01,,R,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53295.4,12.63,0.01,,V,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53295.566,13.24,0.013,,B,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53295.566,11.892,0.018,,I,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53295.566,12.157,0.016,,R,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53295.566,13.178,0.042,,U,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53295.566,12.572,0.014,,V,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53296.6,11.94,0.01,,I,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53296.6,12.24,0.01,,R,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53297.5,13.41,0.02,,B,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53297.5,11.86,0.01,,I,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53297.5,12.22,0.01,,R,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53297.5,12.67,0.01,,V,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53300.14,12.168,0.01,,B,KAIT,KAIT,2014MNRAS.442..844F
SN2004et,53300.14,11.431,0.01,,I,KAIT,KAIT,2014MNRAS.442..844F
SN2004et,53300.14,11.444,0.01,,R,KAIT,KAIT,2014MNRAS.442..844F
SN2004et,53300.14,11.73,0.01,,V,KAIT,KAIT,2014MNRAS.442..844F
SN2004et,53300.546,13.501,0.028,,B,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53300.546,11.916,0.016,,I,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53300.546,12.21,0.007,,R,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53300.546,13.638,0.046,,U,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53300.546,12.656,0.02,,V,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53301.545,13.573,0.021,,B,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53301.545,11.922,0.013,,I,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53301.545,12.207,0.021,,R,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53301.545,13.737,0.043,,U,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53301.545,12.646,0.023,,V,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53304.583,13.694,0.026,,B,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53304.583,11.936,0.019,,I,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53304.583,12.249,0.02,,R,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53304.583,13.865,0.048,,U,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53304.583,12.704,0.016,,V,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53305.555,13.74,0.041,,B,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53305.555,11.914,0.027,,I,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53305.555,12.231,0.02,,R,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53305.555,12.687,0.022,,V,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53306.9,13.79,0.01,,B,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53306.9,11.95,0.01,,I,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53306.9,12.26,0.01,,R,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53306.9,14.37,0.04,,U,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53306.9,12.79,0.01,,V,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53307.718,13.846,0.027,,B,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53307.718,11.923,0.021,,I,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53307.718,12.247,0.016,,R,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53307.718,14.195,0.036,,U,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53307.718,12.746,0.017,,V,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53308.625,13.867,0.013,,B,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53308.625,11.929,0.02,,I,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53308.625,12.248,0.022,,R,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53308.625,14.268,0.05,,U,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53308.625,12.755,0.023,,V,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53308.9,13.86,0.01,,B,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53308.9,11.95,0.01,,I,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53308.9,12.29,0.01,,R,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53308.9,14.51,0.03,,U,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53308.9,12.81,0.01,,V,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53309.1,12.487,0.01,,B,KAIT,KAIT,2014MNRAS.442..844F
SN2004et,53309.1,11.393,0.01,,I,KAIT,KAIT,2014MNRAS.442..844F
SN2004et,53309.1,11.478,0.01,,R,KAIT,KAIT,2014MNRAS.442..844F
SN2004et,53309.1,11.749,0.01,,V,KAIT,KAIT,2014MNRAS.442..844F
SN2004et,53310.632,13.93,0.018,,B,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53310.632,11.928,0.016,,I,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53310.632,12.264,0.008,,R,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53310.632,14.385,0.033,,U,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53310.632,12.767,0.019,,V,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
